Destino,Origem,Classificacao,Danos,Data,Municipio,Estado,Regiao,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Total_Lesoes,Atualizacao
SBKP,SBSL,Incidente,Nenhum,2022-08-11,PALMAS,TO,Norte,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCX,SBKP,Incidente Grave,Leve,2021-08-06,CAXIAS DO SUL,RS,Sul,Público,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
Sem Registro,Sem Registro,Incidente Grave,Leve,2022-05-21,DOURADOS,MS,Centro-Oeste,-,LALT,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCY,SDAM,Incidente,Leve,2022-02-12,CAMPINAS,SP,Sudeste,Público,BIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SIYL,SIYL,Incidente,Leve,2022-06-26,CAMPINAS,SP,Sudeste,Público,GCOL,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SCEL,SBGL,Incidente,Nenhum,2022-07-31,RIO DE JANEIRO,RJ,Sudeste,Público,ADRM,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRP ,SBJR ,Incidente,Nenhum,2023-01-12,TAUBATÉ,SP,Sudeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ,SBGO ,Incidente,Nenhum,2023-01-13,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBE ,SBBE ,Acidente,Substancial,2023-01-27,BELÉM,PA,Norte,Privado,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBE ,SBBE ,Acidente,Substancial,2023-01-27,BELÉM,PA,Norte,Privado,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**** ,**** ,Acidente,Substancial,2023-01-30,CANÁPOLIS,MG,Sudeste,Sem Registro,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**** ,**** ,Acidente,Substancial,2023-01-30,CANÁPOLIS,MG,Sudeste,Sem Registro,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**** ,**** ,Acidente,Substancial,2023-01-30,CANÁPOLIS,MG,Sudeste,Sem Registro,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**** ,**** ,Acidente,Substancial,2023-01-30,CANÁPOLIS,MG,Sudeste,Sem Registro,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**** ,**** ,Acidente,Substancial,2023-01-30,CANÁPOLIS,MG,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**** ,**** ,Acidente,Substancial,2023-01-30,CANÁPOLIS,MG,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
**NI,**NI,Ocorrência Anormal,Sem Registro,2021-09-29,BOA VISTA,RR,Norte,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
APUA ,APUA ,Acidente,Substancial,2023-03-21,CORUPÁ ,SC,Sul,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SJ3M ,SBBV ,Acidente,Substancial,2023-03-25,BOA VISTA,RR,Norte,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SNQV,SNQV,Incidente Grave,Leve,2022-05-08,CURVELO,MG,Sudeste,Público,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SIXE,SBJD,Acidente,Substancial,2022-05-20,ELDORADO DO SUL,RS,Sul,-,SCF-PP,0,0,0,0,0,0,0,0,1,0,0,1,2,2025-08-07 14:40:10
SBBP,SDAM,Acidente,Substancial,2022-08-22,BRAGANÇA PAULISTA,SP,Sudeste,-,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBP,SDAM,Acidente,Substancial,2022-08-22,BRAGANÇA PAULISTA,SP,Sudeste,-,FUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBSP,SDRJ,Incidente,Leve,2022-08-20,RIO DE JANEIRO,RJ,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SNDR,SNWS,Incidente Grave,Nenhum,2022-09-15,TERESINA,PI,Nordeste,Público,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ,SBNT,Incidente Grave,Nenhum,2022-09-15,TERESINA,PI,Nordeste,Público,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBP,SBBP,Incidente,Nenhum,2022-10-15,BRAGANÇA PAULISTA,SP,Sudeste,Público,BIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBJP,SBUL,Incidente,Nenhum,2022-12-30,UBERLÂNDIA,MG,Sudeste,Público,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBMT ,SBMT ,Incidente,Leve,2023-01-21,SÃO PAULO,SP,Sudeste,Público,BIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCA,SBCT,Incidente,Nenhum,2022-10-06,CURITIBA,PR,Sul,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBR,SBVT,Incidente,Leve,2022-10-13,VITÓRIA,ES,Sudeste,Público,BIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBPV,SBRJ,Incidente,Leve,2022-11-25,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SSIE ,SSIE ,Incidente,Leve,2022-12-21,CAMPO GRANDE,MS,Centro-Oeste,Público,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SSIE ,SSIE ,Incidente,Leve,2022-12-21,CAMPO GRANDE,MS,Centro-Oeste,Público,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBUL ,SBCF ,Incidente,Nenhum,2022-12-12,CONFINS,MG,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ,SBNF,Incidente,Nenhum,2023-01-01,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBPV,SSZD,Incidente,Nenhum,2022-06-23,PORTO VELHO,RO,Norte,Público,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBMQ,SBOI,Incidente,Leve,2022-07-27,MACAPÁ,AP,Norte,Público,BIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBE,SBBE,Incidente,Nenhum,2023-01-05,BELÉM,PA,Norte,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SNIT,Sem Registro,Acidente,Substancial,2022-07-04,RUY BARBOSA,BA,Nordeste,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBFL,SBCH,Incidente,Nenhum,2022-08-05,CHAPECÓ,SC,Sul,Público,AMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBFL,SBCH,Incidente,Nenhum,2022-08-05,CHAPECÓ,SC,Sul,Público,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCH,SBFI,Incidente,Nenhum,2022-08-05,CHAPECÓ,SC,Sul,Público,AMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCH,SBFI,Incidente,Nenhum,2022-08-05,CHAPECÓ,SC,Sul,Público,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
****,SBUY ,Incidente,Nenhum,2023-03-20,TEFÉ ,AM,Norte,Sem Registro,F-NI,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBNV ,SBNV ,Incidente,Leve,2023-03-30,GOIÂNIA ,GO,Centro-Oeste,-,BIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCT ,SBFL ,Ocorrência Anormal,Nenhum,2023-03-27,CURITIBA,PR,Sul,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ ,****,Ocorrência Anormal,Nenhum,2019-07-05,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBMO ,SBGR ,Ocorrência Anormal,Nenhum,2019-08-09,GUARULHOS,SP,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBP ,SBBP ,Ocorrência Anormal,Nenhum,2019-08-16,BRAGANÇA PAULISTA,SP,Sudeste,Público,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCY ,SBGR ,Incidente,Nenhum,2023-03-27,GUARULHOS,SP,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ,SBMO,Incidente,Nenhum,2021-03-07,VITÓRIA,ES,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
Sem Registro,Sem Registro,Acidente,Substancial,2022-01-19,FLORIANÓPOLIS,SC,Sul,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
